institution_number,institution_name,type,first_date,last_date,num_months
10238,PRIME MORTGAGE NETWORK INC,Originator,2010-05-01,2011-01-01,8
1024,"SETTLEMENT HOME LENDING, LLC",Originator,2022-03-01,2024-05-01,25
10247,UNITED MORTGAGE ASSOCIATES INC,Originator,2010-05-01,2011-05-01,6
10249,KROBOTH AND HELM MORTGAGE COMPANY INC,Originator,2010-05-01,2011-03-01,7
1025,"RESICENTRAL, LLC",Originator,2022-02-01,2025-03-01,21
1025,"RESICENTRAL, LLC",Sponsor,2022-01-01,2025-06-01,41
10250,FREEDOM LENDING CENTER INCORPORATED,Originator,2010-05-01,2010-07-01,2
10251,MORTGAGE SOURCE INC,Originator,2010-05-01,2010-05-01,1
10262,ADVANTAGE FINAN MTG SERVICES,Originator,2010-05-01,2010-05-01,1
10262,ADVANTAGE FINANCIAL MORTGAGE BANKERS INC,Originator,2010-06-01,2014-01-01,43
10265,BANK 360,Originator,2010-05-01,2010-12-01,6
1027,AAFMAA MORTGAGE SERVICES LLC,Originator,2022-02-01,2025-06-01,29
10271,EAGLE BANK AND TRUST CO,Originator,2010-05-01,2014-03-01,45
10273,HEARTLAND COMMUNITY BANK,Originator,2010-05-01,2011-10-01,14
10279,HOWE FINANCIAL INC,Originator,2010-05-01,2010-12-01,6
1028,CITY BANK & TRUST CO.,Originator,2021-09-01,2024-01-01,12
10284,BANK OF BLUE VALLEY,Originator,2010-05-01,2015-10-01,47
10287,RON SIMPSON AND ASSOCIATES,Originator,2010-05-01,2010-09-01,4
10291,INFINITY LENDING GROUP,Originator,2010-08-01,2011-03-01,3
10297,CAPITAL ASSISTANCE CORP,Originator,2010-05-01,2015-02-01,58
10297,CAPITAL ASSISTANCE CORP,Sponsor,2011-12-01,2011-12-01,1
10300,AMERICAN EAGLE MORTGAGE CORP,Originator,2010-05-01,2010-08-01,3
10316,LYONS MORTGAGE SERVICES INC,Originator,2010-10-01,2013-03-01,12
10331,ARDEN MORTGAGE COMPANY,Originator,2010-05-01,2011-03-01,5
10335,MORTGAGE LINE FINANCIAL CORP,Originator,2018-06-01,2018-06-01,1
