institution_number,institution_name,type,first_date,last_date,num_months
20951,ALPHA MORTGAGE AND FINANCIAL SERVICES,Originator,2010-10-01,2011-01-01,3
20952,FIRST CAPITAL MORTGAGE GROUP INC,Originator,2010-05-01,2014-03-01,46
20952,FIRST CAPITAL MORTGAGE GROUP INC,Sponsor,2010-05-01,2013-12-01,29
20953,PAN AMERICAN MORTGAGE LLC,Originator,2010-05-01,2010-11-01,7
20955,RANLIFE INC,Originator,2010-05-01,2025-06-01,182
20955,RANLIFE INC,Sponsor,2010-08-01,2025-06-01,62
20969,NAVIGATOR FINANCIAL SERVICES INC,Originator,2010-05-01,2010-05-01,1
20971,JEFFERSON INDEPENDENT MORTGAGE INC,Originator,2010-05-01,2010-05-01,1
20973,ALPHA MORTGAGE INC,Originator,2010-05-01,2011-01-01,5
20974,ASSURANCE FINANCIAL GROUP LLC,Originator,2010-05-01,2025-06-01,182
20974,ASSURANCE FINANCIAL GROUP LLC,Sponsor,2010-05-01,2019-01-01,12
20975,BCI FINANCIAL MORTGAGE CORP,Originator,2010-06-01,2011-03-01,10
20983,MANSFIELD HOME MORTGAGE INC,Originator,2010-08-01,2010-08-01,1
20986,UNITED MORTGAGE CORPORATION INC,Originator,2010-05-01,2011-05-01,12
20993,FIRST EQUITY MORTGAGE COMPANY,Originator,2010-05-01,2011-04-01,12
20996,OCM BANCORP INC,Originator,2010-05-01,2011-02-01,10
20996,OCMBC INC,Originator,2011-03-01,2025-05-01,150
20996,OCM BANCORP INC,Sponsor,2010-06-01,2010-07-01,2
20996,OCMBC INC,Sponsor,2015-06-01,2025-06-01,115
20997,AFFORDABLE MORTGAGE OF VIRGINIA INC,Originator,2010-05-01,2011-01-01,9
210,1ST NATIONWIDE MORTGAGE CORPORATION,Originator,2018-01-01,2018-06-01,5
21000,LEXINGTON CAPITAL CORP,Originator,2010-05-01,2011-01-01,7
21002,EXPRESS MORTGAGE SERVICE FLORIDA LLC,Originator,2010-05-01,2011-03-01,11
21004,AARON MORTGAGE COMPANY,Originator,2010-05-01,2011-08-01,12
21007,QMC HOLDING INC,Originator,2010-05-01,2010-07-01,3
21017,HALLMARK MORTGAGE GROUP LLC,Originator,2010-05-01,2011-03-01,8
21018,ALCOVA MORTGAGE LLC,Originator,2010-05-01,2025-06-01,182
21018,ALCOVA MORTGAGE LLC,Sponsor,2010-05-01,2025-06-01,10
21028,THE MORTGAGE SOURCE INC,Originator,2010-05-01,2011-03-01,11
21031,FIFTH THIRD BANK,Originator,2010-05-01,2011-06-01,12
21033,AMERIMORTGAGE INC,Originator,2010-05-01,2010-12-01,8
21039,METRO HOME MORTGAGE LLC,Originator,2011-01-01,2011-03-01,3
21042,CRESCENT STATE BANK,Originator,2010-05-01,2010-11-01,7
21043,SOUTH DEKALB CHURCH FEDERAL CU,Originator,2010-05-01,2010-08-01,2
21053,CAPITAL FUNDING AND MORTGAGE GROUP INC,Originator,2010-05-01,2011-04-01,12
21054,INTEGRITY LENDING INC,Originator,2010-06-01,2010-08-01,3
21057,FIRST HOME MORTGAGE COMPANY,Originator,2010-05-01,2011-01-01,9
21065,GEMSTARR MORTGAGE SERVICES INC,Originator,2010-05-01,2011-03-01,8
21076,ADVANTAGE MORTGAGE PARTNERS LLC,Originator,2010-05-01,2011-02-01,10
21080,1ST AMERICAN TRUST MORTGAGE CORP,Originator,2010-05-01,2010-08-01,3
21086,CONWAY HOME MORTGAGE LLC,Originator,2010-05-01,2011-03-01,11
21086,NEW ENGLAND MORTGAGE PARTNERS LLC,Originator,2011-05-01,2011-05-01,1
21087,TEXAS MORTGAGE PROFESSIONALS LLC,Originator,2010-05-01,2010-12-01,7
21090,PRIMESOUTH BANCSHARES INC,Originator,2010-05-01,2011-02-01,9
21095,TEX MEX MORTGAGE INC,Originator,2010-06-01,2011-04-01,9
21097,INDEPENDENT BANK,Originator,2010-05-01,2025-06-01,178
21097,INDEPENDENT BANK,Sponsor,2010-05-01,2022-11-01,21
211,"GIBRALTAR MORTGAGE SERVICES, LLC",Originator,2017-12-01,2023-03-01,60
21101,LIBERTY ONE FINANCIAL INC,Originator,2010-06-01,2010-08-01,3
21107,EVANSVILLE FEDERAL CREDIT UNION,Originator,2010-05-01,2011-03-01,9
21109,GENWORTH FINANCIAL HM EQUITY ACCESS INC,Originator,2010-07-01,2010-07-01,1
21112,MEMBERS ALLIANCE CREDIT UNION,Originator,2010-10-01,2010-10-01,1
21114,HYPERION CAPITAL GROUP LLC,Originator,2010-05-01,2012-10-01,16
21114,HYPERION CAPITAL GROUP LLC,Sponsor,2010-05-01,2011-03-01,11
21124,GARBETT MORTGAGE,Originator,2010-05-01,2011-02-01,10
21126,FIRST FAMILY MORTGAGE INC,Originator,2010-06-01,2010-08-01,2
21133,LENDSOURCE INC,Originator,2010-05-01,2011-08-01,16
21133,LENDSOURCE INC,Sponsor,2010-05-01,2010-08-01,4
21136,AMARIT FINANCIAL GROUP LLC,Originator,2010-05-01,2011-02-01,9
21156,COVENANT MORTGAGE AND INVESTMENT GROUP,Originator,2010-05-01,2010-05-01,1
21157,MC OF AMERICA LLC,Originator,2010-05-01,2011-03-01,10
21161,CONSUMER CREDIT SERVICES INC,Originator,2011-01-01,2011-01-01,1
21166,GREAT AMERICAN MORTGAGE BANC INC,Originator,2010-05-01,2011-04-01,9
21168,COLONIAL MORTGAGE CORPORATION,Originator,2010-06-01,2010-09-01,2
21175,THE MORTGAGE LINK INC,Originator,2010-05-01,2011-05-01,12
21177,AMERIPRO FUNDING INC,Originator,2010-05-01,2016-09-01,77
21177,AMERIPRO FUNDING INC,Sponsor,2012-08-01,2016-05-01,3
21185,MINNESOTA VALLEY FEDERAL CREDIT UNION,Originator,2010-07-01,2010-09-01,3
21189,OXFORD BANK,Originator,2010-09-01,2011-02-01,3
21190,EQUILLIANCE LLC,Originator,2010-05-01,2010-07-01,2
21191,EXECUTIVE MORTGAGE LLC,Originator,2010-05-01,2010-08-01,4
21195,LANDOVER MORTGAGE LLC,Originator,2010-05-01,2014-08-01,51
21203,MC FUNDING INC,Originator,2010-05-01,2011-01-01,9
21210,BENCHMARK LENDING LLC,Originator,2010-05-01,2011-01-01,7
21212,INFINITY MORTGAGE SERVICE INC,Originator,2010-05-01,2010-07-01,2
21213,PREMIUM MORTGAGE CORP,Originator,2010-05-01,2011-05-01,11
21215,PARK LENDING SERVICES INC,Originator,2010-05-01,2011-03-01,10
21219,ELM TREE FUNDING LLC,Originator,2010-05-01,2011-01-01,7
21221,BROKER SOLUTIONS INC,Originator,2010-05-01,2023-02-01,154
21221,"NEW AMERICAN FUNDING, LLC",Originator,2023-03-01,2025-06-01,28
21221,BROKER SOLUTIONS INC,Sponsor,2010-06-01,2021-12-01,81
21221,"NEW AMERICAN FUNDING, LLC",Sponsor,2025-05-01,2025-05-01,1
21222,OLYMPUS FUNDING CORP,Originator,2010-05-01,2011-04-01,10
21224,GRAYSTONE FUNDING COMPANY LLC,Originator,2010-05-01,2021-08-01,136
21224,GRAYSTONE FUNDING COMPANY LLC,Sponsor,2017-09-01,2017-09-01,1
21225,AMERICAN MARINE BANK,Originator,2010-06-01,2010-06-01,1
21229,AMERICAN LIBERTY MORTGAGE INC,Originator,2010-05-01,2025-06-01,182
21234,STANFORD FUNDING INC,Originator,2010-05-01,2011-02-01,9
21236,SIMONS AND LEONI HOME LOANS LLC,Originator,2010-05-01,2011-04-01,6
21238,PREMIER BANK,Originator,2010-05-01,2011-04-01,12
21246,MERCANTILE BANK OF WEST MICHIGAN,Originator,2010-05-01,2018-09-01,58
21246,MERCANTILE BANK OF MICHIGAN,Originator,2018-10-01,2022-02-01,38
21246,MERCANTILE BANK,Originator,2022-03-01,2025-06-01,40
21248,MORTGAGE EXPRESS LLC,Originator,2010-05-01,2025-06-01,182
21248,MORTGAGE EXPRESS LLC,Sponsor,2010-05-01,2011-09-01,10
21249,URBAN FINANCIAL GROUP,Originator,2010-05-01,2011-09-01,4
21251,TEXAS HERITAGE MORTGAGE LTD,Originator,2010-05-01,2011-04-01,10
21252,PIEDMONT MORTGAGE ASSOCIATES INC,Originator,2010-05-01,2010-05-01,1
21253,AMERICAN HERITAGE CAPITAL LP,Originator,2010-05-01,2018-07-01,22
21254,BLUE SKY MORTGAGE OF TN LLC,Originator,2010-05-01,2010-11-01,3
21257,NORTHSTAR MORTGAGE SERVICES INC,Originator,2010-05-01,2011-02-01,10
21262,CU MORTGAGE DIRECT LLC,Originator,2010-05-01,2025-06-01,166
21263,GROUP ONE MORTGAGE INC,Originator,2010-05-01,2021-09-01,135
21263,GROUP ONE MORTGAGE INC,Sponsor,2013-09-01,2017-04-01,2
21267,AUBURNBANK,Originator,2010-05-01,2013-09-01,28
21270,EMORY ALLIANCE CREDIT UNION,Originator,2010-05-01,2011-02-01,9
21271,MYBANK,Originator,2010-06-01,2010-10-01,2
21275,YADKIN VALLEY BANK AND TRUST,Originator,2010-05-01,2011-03-01,11
21276,MARANATHA MORTGAGE CORPORATION,Originator,2010-05-01,2011-02-01,10
21277,DELAWARE NATIONAL BANK,Originator,2010-11-01,2011-02-01,4
21278,SUSQUEHANNA BANK,Originator,2010-05-01,2016-02-01,67
21278,SUSQUEHANNA BANK,Sponsor,2012-03-01,2012-03-01,1
21280,INT FINANCIAL SERVICES INC,Originator,2010-05-01,2011-02-01,10
21291,CARDINAL MORTGAGE SERVICES LLC,Originator,2010-05-01,2011-02-01,10
21292,UNION FEDERAL SAVINGS BANK,Originator,2010-09-01,2014-09-01,28
21293,SUCCESS MORTGAGE PARTNERS INC,Originator,2010-05-01,2025-06-01,182
21293,SUCCESS MORTGAGE PARTNERS INC,Sponsor,2014-09-01,2024-09-01,11
21308,FLETCH FUNDING INC,Originator,2010-05-01,2011-02-01,9
21312,PA MORTGAGE NETWORK LLC,Originator,2010-05-01,2011-01-01,5
21315,OPTIMUM MORTGAGE LLC,Originator,2010-06-01,2010-10-01,2
21318,SCHMIDT MORTGAGE CORPORATION,Originator,2010-10-01,2010-10-01,1
21319,HBNC INC,Originator,2010-05-01,2011-01-01,6
21321,TMG REAL ESTATE & FINANCIAL SERVICES LLC,Originator,2010-05-01,2011-02-01,10
21322,BANK OF THE HILLS NA,Originator,2010-08-01,2010-08-01,1
21323,PARAGON MORTGAGE SERVICES INC,Originator,2010-05-01,2011-05-01,12
21327,PROFESSIONAL CHOICE MORTGAGE LLC,Originator,2010-07-01,2010-09-01,3
21334,GEORGI INC,Originator,2010-05-01,2011-03-01,11
21336,GENESIS MORTGAGE LLC,Originator,2010-05-01,2011-07-01,15
21340,WALLINDER MORTGAGE BROKERS INC,Originator,2010-05-01,2010-12-01,5
21342,AMS PARTNERS LP,Originator,2010-05-01,2011-01-01,9
21352,BANK OF OAK RIDGE,Originator,2010-05-01,2010-12-01,7
21359,AMERICAN ADVANTAGE MORTGAGE CO LLC,Originator,2010-05-01,2010-06-01,2
21361,S AND C FINANCIAL LLC,Originator,2010-05-01,2011-05-01,11
21367,USLENDING & FINANCE LTD,Originator,2010-05-01,2018-08-01,94
21371,CUSO MORTGAGE INC,Originator,2010-05-01,2017-07-01,59
21371,CUSO MORTGAGE INC,Sponsor,2010-07-01,2017-03-01,11
21375,MORTGAGE ACCEPTANCE CORPORATION,Originator,2010-07-01,2010-07-01,1
21376,URBAN TRUST BANK,Originator,2010-05-01,2011-09-01,17
21378,COUSINS HOME LENDING INC,Originator,2010-05-01,2011-02-01,9
21380,FIRST STATE BANK OF ST CHARLES,Originator,2010-06-01,2025-06-01,180
21380,FIRST STATE BANK OF ST CHARLES,Sponsor,2010-08-01,2012-06-01,20
21389,ACCELERATED MORTGAGE SERVICES INC,Originator,2010-08-01,2010-08-01,1
21391,CF BANCORP,Originator,2010-05-01,2010-05-01,1
21399,GUARANTEE PACIFIC MORTGAGE LLC,Originator,2010-05-01,2011-06-01,12
21404,SUMMIT HOME LOANS INC,Originator,2010-05-01,2010-12-01,8
21407,OLD VIRGINIA MORTGAGE INC,Originator,2010-05-01,2014-07-01,51
21407,OVM FINANCIAL INC,Originator,2014-08-01,2022-10-01,99
21407,OLD VIRGINIA MORTGAGE INC,Sponsor,2010-06-01,2013-03-01,15
21414,CRESTWOOD MORTGAGE COMPANY,Originator,2010-05-01,2010-05-01,1
21424,MARKETWISE MORTGAGE INC,Originator,2010-05-01,2010-12-01,7
21425,AMERICAS DISCOUNT MORTGAGE INC,Originator,2010-05-01,2011-01-01,9
21427,MORTGAGE LENDING SOLUTIONS INC,Originator,2010-05-01,2011-04-01,12
21428,PREMIER MORTGAGE SERVICES LLC,Originator,2010-05-01,2011-03-01,8
21430,ELITE HOME LOANS INC,Originator,2010-05-01,2011-07-01,12
21433,DISNEY FINANCIAL CORP,Originator,2010-05-01,2010-08-01,4
21435,M & W FINANCIAL SERVICES INC,Originator,2010-05-01,2010-05-01,1
21446,PIERPOINT MORTGAGE LLC,Originator,2010-06-01,2011-03-01,10
21462,COUNTRYSIDE MORTGAGE LLC,Originator,2010-05-01,2010-12-01,7
21463,ALLIANZ MORTGAGE SERVICES INC,Originator,2010-05-01,2011-03-01,11
21468,GENERAL MORTGAGE FINANCE CORP,Originator,2010-07-01,2010-07-01,1
21470,MORTGAGEEASE.COM LLC,Originator,2010-06-01,2010-12-01,7
21476,YOUR HOME FUNDING INC,Originator,2010-05-01,2010-11-01,3
21480,AZALEA COAST MORTGAGE CO INC,Originator,2010-05-01,2011-03-01,8
21483,PINNACLE MORTGAGE FUNDING LLC,Originator,2010-05-01,2010-07-01,2
21485,WHITE OAK MORTGAGE LLC,Originator,2010-05-01,2011-02-01,10
21489,ROSS MORTGAGE CORPORATION,Originator,2010-05-01,2025-06-01,182
21489,ROSS MORTGAGE CORPORATION,Sponsor,2010-05-01,2012-12-01,32
21490,UNIVERSAL AMERICAN MORTGAGE CO LLC,Originator,2010-05-01,2017-05-01,85
21490,EAGLE HOME MORTGAGE LLC,Originator,2017-06-01,2020-11-01,42
21490,"LENNAR MORTGAGE, LLC",Originator,2020-12-01,2025-06-01,55
21490,UNIVERSAL AMERICAN MORTGAGE CO LLC,Sponsor,2010-05-01,2017-05-01,84
21490,EAGLE HOME MORTGAGE LLC,Sponsor,2017-06-01,2020-03-01,32
21490,"LENNAR MORTGAGE, LLC",Sponsor,2022-09-01,2025-05-01,3
21494,US MORTGAGE BANKERS INC,Originator,2010-05-01,2011-02-01,10
21497,PRICE FINANCIAL SERVICES LLC,Originator,2010-05-01,2010-12-01,8
21498,ATLAS HOME MORTGAGE CORPORATION,Originator,2010-06-01,2010-06-01,1
21502,HOMETOWN LENDERS LLC,Originator,2010-05-01,2017-12-01,92
21502,"HOMETOWN LENDERS, INC",Originator,2018-01-01,2024-02-01,74
21502,HOMETOWN LENDERS LLC,Sponsor,2012-10-01,2017-01-01,3
21502,"HOMETOWN LENDERS, INC",Sponsor,2018-11-01,2023-08-01,49
21505,FIRST MORTGAGE CONSULTANTS LLC,Originator,2010-05-01,2011-03-01,11
21506,HOMEXPRESS LENDING INC,Originator,2010-05-01,2011-02-01,8
21507,J VIRGIL INC,Originator,2010-05-01,2021-06-01,134
21507,MORTGAGE300 CORPORATION,Originator,2021-07-01,2025-06-01,48
21507,J VIRGIL INC,Sponsor,2011-03-01,2011-03-01,1
21507,MORTGAGE300 CORPORATION,Sponsor,2023-10-01,2023-10-01,1
21509,BP FEDERAL CREDIT UNION,Originator,2010-05-01,2010-11-01,2
21519,OPTION 1 CREDIT UNION,Originator,2010-05-01,2011-01-01,7
21522,DESTINATION MORTGAGE LLC,Originator,2010-07-01,2010-07-01,1
21524,MORTGAGE MANAGEMENT CONSULTANTS INC,Originator,2010-05-01,2025-06-01,182
21524,MORTGAGE MANAGEMENT CONSULTANTS INC,Sponsor,2010-05-01,2019-06-01,62
21528,FIRST CALIFORNIA MORTGAGE COMPANY,Originator,2010-05-01,2018-01-01,93
21528,FIRST CALIFORNIA MORTGAGE COMPANY,Sponsor,2010-05-01,2018-01-01,69
21533,FIRST STATE COMMUNITY BANK,Originator,2010-05-01,2011-03-01,9
21544,NCW HOME LOANS LLC,Originator,2010-08-01,2011-02-01,4
21547,HOPE FINANCIAL SERVICES INC,Originator,2010-05-01,2011-08-01,14
21548,OPEN MORTGAGE LLC,Originator,2010-05-01,2025-02-01,175
21548,OPEN MORTGAGE LLC,Sponsor,2010-05-01,2025-01-01,141
21551,SOUTHEAST FUNDING ALLIANCE INC,Originator,2010-05-01,2017-06-01,50
21553,HANOVER MORTGAGE COMPANY,Originator,2010-05-01,2011-06-01,12
21562,GREENPATH FUNDING LLC,Originator,2010-05-01,2011-10-01,15
21570,COLUMBUS HOUSING INITIATIVE INC,Originator,2010-05-01,2011-03-01,8
21575,WYOMING NATIONAL BANK,Originator,2010-06-01,2010-12-01,5
21578,THE BANK OF GEORGIA,Originator,2010-06-01,2010-08-01,2
21580,HOMEOWNERS FINANCIAL GROUP USA LLC,Originator,2010-05-01,2025-06-01,182
21580,HOMEOWNERS FINANCIAL GROUP USA LLC,Sponsor,2010-05-01,2021-10-01,7
21581,ACCUNET MORTGAGE LLC,Originator,2010-05-01,2010-07-01,3
21582,FIDELITY MORTGAGE INC OF ILLINOIS,Originator,2010-06-01,2010-06-01,1
21588,CORNERSTONE BANK,Originator,2010-05-01,2011-02-01,5
21591,UNBOUND MORTGAGE CORPORATION,Originator,2010-05-01,2010-07-01,3
21592,AMERICAN MORTGAGE GROUP INC,Originator,2010-05-01,2011-02-01,10
21595,NORTHWESTERN BANK,Originator,2010-05-01,2014-12-01,51
21597,RAINBOW  MORTGAGE INC,Originator,2010-05-01,2010-05-01,1
216,"DLJ FINANCIAL, INC.",Originator,2016-07-01,2018-04-01,14
216,"LOANSNAP, INC.",Originator,2018-05-01,2020-04-01,22
216,"DLJ FINANCIAL, INC.",Sponsor,2017-05-01,2017-05-01,1
21607,CU MORTGAGE SERVICE LLC,Originator,2010-05-01,2011-03-01,11
21609,HELA CORPORATION,Originator,2010-05-01,2011-04-01,12
21610,SECURE FINANCIAL MORTGAGE INC,Originator,2010-10-01,2010-10-01,1
21611,FOX VALLEY MORTGAGE CORP,Originator,2010-05-01,2010-12-01,5
21614,CONSUMERS REAL ESTATE FINANCE CO,Originator,2010-05-01,2010-07-01,3
21614,CONSUMER REAL ESTATE FINANCE CO,Originator,2010-08-01,2011-04-01,9
21618,CHEMICAL BANK,Originator,2010-05-01,2019-09-01,113
21618,CHEMICAL BANK,Sponsor,2017-03-01,2017-03-01,1
21619,ANM COMPANIES LLC,Originator,2010-05-01,2011-01-01,9
21626,COMMERCIAL BANK,Originator,2010-10-01,2011-12-01,7
21627,SUMMIT MORTGAGE INC,Originator,2010-05-01,2020-10-01,123
21627,SUMMIT MORTGAGE INC,Sponsor,2012-05-01,2012-05-01,1
21635,PERFECTION MORTGAGE INC,Originator,2010-05-01,2011-02-01,10
21636,ELEND MORTGAGE LLC,Originator,2010-05-01,2010-05-01,1
21638,CEDAR RAPIDS BANK AND TRUST COMPANY,Originator,2010-05-01,2011-03-01,11
21639,NATIONWIDE EQUITIES CORPORATION,Originator,2010-05-01,2025-06-01,123
21639,NATIONWIDE EQUITIES CORPORATION,Sponsor,2010-05-01,2011-03-01,7
21642,SOUTHEAST FINANCIAL CREDIT UNION,Originator,2010-06-01,2011-04-01,6
21645,GUARDIAN MORTGAGE COMPANY INC,Originator,2010-05-01,2017-06-01,85
21645,GUARDIAN MORTGAGE COMPANY INC,Sponsor,2012-06-01,2017-06-01,23
21646,MILLENIUM LENDING INC,Originator,2010-09-01,2011-01-01,5
21648,FAMILY FIRST FEDERAL CREDIT UNION,Originator,2010-06-01,2010-11-01,6
21657,EXPRESS FINANCIAL & MORTGAGE SERVICES LL,Originator,2010-05-01,2011-02-01,10
21659,HUNTER MORTGAGE INC,Originator,2010-05-01,2011-03-01,11
21663,RESOURCE MORTGAGE INC,Originator,2010-05-01,2010-06-01,2
21666,MGM MORTGAGE CO,Originator,2010-06-01,2011-02-01,7
21667,FIRST COMMONWEALTH MORTGAGE CORP,Originator,2010-05-01,2011-05-01,13
21670,PACIFIC RESIDENTIAL MORTGAGE LLC,Originator,2010-05-01,2025-04-01,180
21670,PACIFIC RESIDENTIAL MORTGAGE LLC,Sponsor,2010-05-01,2025-03-01,39
21671,ISERVE RESIDENTIAL LENDING LLC,Originator,2010-05-01,2025-06-01,182
21671,ISERVE RESIDENTIAL LENDING LLC,Sponsor,2010-11-01,2011-02-01,3
21678,WEST HORIZON FINANCIAL INC,Originator,2010-05-01,2011-07-01,13
21682,AVERY FINANCIAL GROUP INC,Originator,2010-05-01,2011-04-01,12
21687,MULTI STATE MORTGAGE INC,Originator,2010-05-01,2011-01-01,8
21694,PEOPLES BANK OF THE OZARKS,Originator,2010-05-01,2011-03-01,11
21697,PEOPLES INDEPENDENT BANK,Originator,2010-05-01,2011-02-01,9
217,MUTUAL FEDERAL BANK,Originator,2017-10-01,2023-09-01,55
217,MUTUAL FEDERAL BANK,Sponsor,2018-10-01,2018-11-01,2
21703,MERIDIAN RESIDENTIAL INC,Originator,2010-05-01,2010-10-01,6
21707,PEOPLES CHOICE MORTGAGE INC,Originator,2010-05-01,2011-03-01,10
21708,ALLIANCE CAPITAL FUNDING INC,Originator,2010-05-01,2011-03-01,11
21720,WESTERLY COMMUNITY CREDIT UNION,Originator,2010-05-01,2011-05-01,5
21721,SPRINGFIELD MORTGAGE INC,Originator,2010-05-01,2011-02-01,6
21724,CAVALIER MORTGAGE GROUP INC,Originator,2010-05-01,2015-09-01,64
21724,CAVALIER MORTGAGE GROUP INC,Sponsor,2010-05-01,2010-06-01,2
21726,G T L INVESTMENTS INC,Originator,2010-05-01,2017-05-01,85
21726,"STAUNTON FINANCIAL, INC.",Originator,2017-06-01,2025-06-01,97
21726,G T L INVESTMENTS INC,Sponsor,2014-03-01,2014-05-01,2
21730,TRI STAR HOME MORTGAGE LLC,Originator,2010-05-01,2011-03-01,11
21744,TRINITY MORTGAGE CO OF CENTRAL FL LLC,Originator,2010-05-01,2011-03-01,11
21751,PHC MORTGAGE LLC,Originator,2010-05-01,2011-01-01,7
21753,CASTLEROCK MORTGAGE LTD________________,Originator,2010-05-01,2011-05-01,13
21754,THE MORTGAGE GROUP LTD,Originator,2010-05-01,2011-02-01,10
21754,ACCUTRUST MORTGAGE INC,Originator,2011-03-01,2014-03-01,5
21759,AMERICAN AFFORDABLE HOMES INC,Originator,2010-05-01,2011-04-01,6
21763,CONSOLIDATED FEDERAL CREDIT UNION,Originator,2010-05-01,2011-04-01,11
21764,MAIN STREAM MORTGAGE INC,Originator,2010-05-01,2011-04-01,11
21767,KWIK MORTGAGE CORPORATION,Originator,2010-05-01,2025-05-01,165
21767,KWIK MORTGAGE CORPORATION,Sponsor,2013-05-01,2021-08-01,7
2177,VANTAGE WEST CREDIT UNION,Originator,2010-05-01,2012-05-01,13
21770,MIDSOUTH BANK,Originator,2010-05-01,2014-12-01,34
21771,PARKER SERVICES INC,Originator,2010-05-01,2011-04-01,10
21775,1ST CAPITAL MORTGAGE LLC,Originator,2010-05-01,2011-03-01,11
21781,THE ANDERSON FINANCIAL GROUP INC,Originator,2010-05-01,2025-06-01,176
21782,GUARDIAN MORTGAGE CORPORATION,Originator,2010-05-01,2010-12-01,5
21785,SWINFORD CAPITAL CORPORATION,Originator,2010-05-01,2011-04-01,12
21790,BILTMORE FINANCIAL BANCORP INC,Originator,2010-05-01,2011-02-01,10
21798,LOAN*STAR MORTGAGE CORPORATION,Originator,2010-06-01,2011-02-01,7
21799,TOWNE MORTGAGE COMPANY,Originator,2010-05-01,2025-06-01,182
21799,TOWNE MORTGAGE COMPANY,Sponsor,2010-05-01,2025-06-01,181
218,UWHARRIE BANK,Originator,2016-01-01,2025-06-01,107
21802,AMERA MORTGAGE CORPORATION,Originator,2010-05-01,2015-02-01,41
21802,AMERA MORTGAGE CORPORATION,Sponsor,2010-05-01,2012-10-01,27
21807,CITIZENS BANK,Originator,2010-05-01,2013-05-01,37
21815,STERLING BANK AND TRUST FSB,Originator,2010-05-01,2012-08-01,4
21825,B & D SERVICES LLC,Originator,2010-05-01,2011-01-01,8
21828,COMPETITIVE MORTGAGE INC,Originator,2010-05-01,2011-03-01,11
21829,C & M LENDING INC,Originator,2010-05-01,2011-02-01,10
21834,DUNWOODY MORTGAGE SERVICES INC,Originator,2010-05-01,2011-01-01,8
21836,CUMBERLAND BANK AND TRUST,Originator,2010-05-01,2018-01-01,72
21837,KWSJGH INC,Originator,2010-05-01,2011-04-01,11
21838,SOONER STATE BANK,Originator,2010-05-01,2011-01-01,5
21844,BAYSIDE MORTGAGE SERVICES INC,Originator,2010-09-01,2010-11-01,3
21845,MORTGAGE WORLD BANKERS INC,Originator,2010-05-01,2022-01-01,125
21846,SWAN FINANCIAL CORPORATION,Originator,2010-05-01,2011-06-01,13
21850,AMERICAN FAMILY FINANCIAL SERVICES LLC,Originator,2010-05-01,2011-02-01,10
21855,FIRST SOUTHWEST BANK,Originator,2010-05-01,2011-02-01,3
21857,TOWNSTONE FINANCIAL INC,Originator,2010-05-01,2011-03-01,11
21864,BEACH FIRST NATIONAL BANK,Originator,2010-05-01,2010-05-01,1
21866,UNIBELL FINANCIAL INC,Originator,2010-05-01,2011-03-01,11
21867,RED MOUNTAIN BANK NA,Originator,2010-05-01,2010-08-01,3
21867,NATIONAL BANK OF COMMERCE,Originator,2016-05-01,2019-05-01,36
21868,ARCHWAY MORTGAGE LLC,Originator,2010-05-01,2011-01-01,8
21869,CONSUMERS MORTGAGE SOURCE LLC,Originator,2010-05-01,2011-01-01,8
21872,STANFORD CAPITAL LLC,Originator,2010-05-01,2011-04-01,11
21879,GREAT NORTHERN LENDING CORP,Originator,2010-05-01,2011-03-01,7
21882,COMMUNITY FINANCIAL MEMBERS FED CR UN,Originator,2011-05-01,2011-08-01,4
21882,COMMUNITY FINANCIAL MEMBERS FED CR UN,Sponsor,2010-05-01,2011-03-01,11
21889,PARAMOUNT MORTGAGE GROUP INC,Originator,2010-06-01,2010-06-01,1
21898,GLOBAL INTERNATIONAL LENDING GROUP INC,Originator,2010-06-01,2011-08-01,8
21899,OCWEN LOAN SERVICING LLC,Originator,2016-12-01,2017-04-01,2
21899,OCWEN LOAN SERVICING LLC,Sponsor,2010-05-01,2018-01-01,57
21901,FOUNDERS BANK & TRUST,Originator,2010-05-01,2015-04-01,50
21902,PRYSMA LENDING GROUP LLC,Originator,2010-05-01,2025-06-01,174
21905,RESIDENTIAL LOAN STAR MORTGAGE LTD,Originator,2010-06-01,2010-09-01,3
21907,WSB MORTGAGE SERVICES INC,Originator,2010-11-01,2010-11-01,1
21908,CALIFORNIA FINANCIAL GROUP INC,Originator,2010-05-01,2011-10-01,17
21908,CALIFORNIA FINANCIAL GROUP INC,Sponsor,2010-06-01,2010-06-01,1
21915,PEOPLES BANK AND TRUST COMPANY,Originator,2010-06-01,2010-08-01,3
21916,LYONS NATIONAL BANK,Originator,2012-02-01,2012-02-01,1
21920,AVISTAR CAPITAL GROUP LLC,Originator,2010-05-01,2011-05-01,12
21922,"OAK STREET FINANCIAL, INC.",Originator,2010-05-01,2011-01-01,8
21927,CRANBROOK MORTGAGE CORP,Originator,2010-05-01,2011-04-01,12
21929,MWF FINANCIAL AND MORTGAGE CENTER INC,Originator,2010-05-01,2010-06-01,2
2193,SUN AMERICAN MORTGAGE CO,Originator,2010-05-01,2025-06-01,182
21930,MORTGAGE MAX CORPORATION,Originator,2010-05-01,2011-02-01,9
21933,MORTGAGE RESEARCH CENTER LLC,Originator,2010-05-01,2025-06-01,182
21933,MORTGAGE RESEARCH CENTER LLC,Sponsor,2011-09-01,2023-12-01,4
21934,CALLISTO GROUP INC,Originator,2010-05-01,2014-02-01,44
