category,file_name,relative_to_project,relative_to_data,parent_directory,suffix,size_bytes,size_mb,size_readable,modified_utc,created_utc
raw,fha_hecm_snapshot_20190401.xls,data\raw\hecm\fha_hecm_snapshot_20190401.xls,raw\hecm\fha_hecm_snapshot_20190401.xls,raw\hecm,xls,1690112,1.6118,1.61 MB,2025-06-07T13:58:35.574776+00:00,2025-06-07T13:58:33.783457+00:00
raw,fha_hecm_snapshot_20190501.xls,data\raw\hecm\fha_hecm_snapshot_20190501.xls,raw\hecm\fha_hecm_snapshot_20190501.xls,raw\hecm,xls,2202112,2.1001,2.10 MB,2025-06-07T13:58:30.795228+00:00,2025-06-07T13:58:28.472871+00:00
raw,fha_hecm_snapshot_20190601.xls,data\raw\hecm\fha_hecm_snapshot_20190601.xls,raw\hecm\fha_hecm_snapshot_20190601.xls,raw\hecm,xls,2160128,2.0601,2.06 MB,2025-06-07T13:58:26.019912+00:00,2025-06-07T13:58:23.729396+00:00
raw,fha_hecm_snapshot_20190701.xls,data\raw\hecm\fha_hecm_snapshot_20190701.xls,raw\hecm\fha_hecm_snapshot_20190701.xls,raw\hecm,xls,2204160,2.1021,2.10 MB,2025-06-07T13:58:21.329625+00:00,2025-06-07T13:58:18.983568+00:00
raw,fha_hecm_snapshot_20190801.xls,data\raw\hecm\fha_hecm_snapshot_20190801.xls,raw\hecm\fha_hecm_snapshot_20190801.xls,raw\hecm,xls,2609152,2.4883,2.49 MB,2025-06-07T13:58:16.622446+00:00,2025-06-07T13:58:13.905408+00:00
raw,fha_hecm_snapshot_20190901.xls,data\raw\hecm\fha_hecm_snapshot_20190901.xls,raw\hecm\fha_hecm_snapshot_20190901.xls,raw\hecm,xls,3128832,2.9839,2.98 MB,2025-06-07T13:58:11.514771+00:00,2025-06-07T13:58:08.252432+00:00
raw,fha_hecm_snapshot_20191001.xls,data\raw\hecm\fha_hecm_snapshot_20191001.xls,raw\hecm\fha_hecm_snapshot_20191001.xls,raw\hecm,xls,4026368,3.8398,3.84 MB,2025-06-07T13:58:05.427703+00:00,2025-06-07T13:58:01.241442+00:00
raw,fha_hecm_snapshot_20191101.xls,data\raw\hecm\fha_hecm_snapshot_20191101.xls,raw\hecm\fha_hecm_snapshot_20191101.xls,raw\hecm,xls,3870208,3.6909,3.69 MB,2025-06-07T13:57:58.856081+00:00,2025-06-07T13:57:54.838646+00:00
raw,fha_hecm_snapshot_20191201.xls,data\raw\hecm\fha_hecm_snapshot_20191201.xls,raw\hecm\fha_hecm_snapshot_20191201.xls,raw\hecm,xls,3724288,3.5518,3.55 MB,2025-06-07T13:57:52.376710+00:00,2025-06-07T13:57:48.501318+00:00
raw,fha_hecm_snapshot_20200101.xls,data\raw\hecm\fha_hecm_snapshot_20200101.xls,raw\hecm\fha_hecm_snapshot_20200101.xls,raw\hecm,xls,4931072,4.7026,4.70 MB,2025-06-07T13:57:46.100400+00:00,2025-06-07T13:57:40.993018+00:00
raw,fha_hecm_snapshot_20200201.xls,data\raw\hecm\fha_hecm_snapshot_20200201.xls,raw\hecm\fha_hecm_snapshot_20200201.xls,raw\hecm,xls,4731392,4.5122,4.51 MB,2025-06-07T13:57:38.606927+00:00,2025-06-07T13:57:33.680131+00:00
raw,fha_hecm_snapshot_20200301.xls,data\raw\hecm\fha_hecm_snapshot_20200301.xls,raw\hecm\fha_hecm_snapshot_20200301.xls,raw\hecm,xls,4520960,4.3115,4.31 MB,2025-06-07T13:57:31.292964+00:00,2025-06-07T13:57:26.618008+00:00
raw,fha_hecm_snapshot_20200401.xls,data\raw\hecm\fha_hecm_snapshot_20200401.xls,raw\hecm\fha_hecm_snapshot_20200401.xls,raw\hecm,xls,3776512,3.6016,3.60 MB,2025-06-07T13:57:24.215950+00:00,2025-06-07T13:57:20.262824+00:00
raw,fha_hecm_snapshot_20200501.xls,data\raw\hecm\fha_hecm_snapshot_20200501.xls,raw\hecm\fha_hecm_snapshot_20200501.xls,raw\hecm,xls,5465600,5.2124,5.21 MB,2025-06-07T13:57:17.802064+00:00,2025-06-07T13:57:12.154157+00:00
raw,fha_hecm_snapshot_20200601.xls,data\raw\hecm\fha_hecm_snapshot_20200601.xls,raw\hecm\fha_hecm_snapshot_20200601.xls,raw\hecm,xls,5085184,4.8496,4.85 MB,2025-06-07T13:57:09.764137+00:00,2025-06-07T13:57:04.499357+00:00
